"Step","B2-NoAugmentation_run - train_loss_step","B2-NoAugmentation_run - train_loss_step__MIN","B2-NoAugmentation_run - train_loss_step__MAX","B2-MaxPool_run - train_loss_step","B2-MaxPool_run - train_loss_step__MIN","B2-MaxPool_run - train_loss_step__MAX","B2-LowLR_run - train_loss_step","B2-LowLR_run - train_loss_step__MIN","B2-LowLR_run - train_loss_step__MAX","B2-HighLR_run - train_loss_step","B2-HighLR_run - train_loss_step__MIN","B2-HighLR_run - train_loss_step__MAX","B2-No-BatchNorm_run - train_loss_step","B2-No-BatchNorm_run - train_loss_step__MIN","B2-No-BatchNorm_run - train_loss_step__MAX","B2-No-DropConnect_run - train_loss_step","B2-No-DropConnect_run - train_loss_step__MIN","B2-No-DropConnect_run - train_loss_step__MAX","B2-No-Swish_run - train_loss_step","B2-No-Swish_run - train_loss_step__MIN","B2-No-Swish_run - train_loss_step__MAX","B2-No-SE_run - train_loss_step","B2-No-SE_run - train_loss_step__MIN","B2-No-SE_run - train_loss_step__MAX","EfficientNet-B2_run - train_loss_step","EfficientNet-B2_run - train_loss_step__MIN","EfficientNet-B2_run - train_loss_step__MAX","EfficientNet-B1_run - train_loss_step","EfficientNet-B1_run - train_loss_step__MIN","EfficientNet-B1_run - train_loss_step__MAX","EfficientNet-B0_run - train_loss_step","EfficientNet-B0_run - train_loss_step__MIN","EfficientNet-B0_run - train_loss_step__MAX"
"10","3.7674560546875","3.7674560546875","3.7674560546875","4.961822509765625","4.961822509765625","4.961822509765625","3.649658203125","3.649658203125","3.649658203125","3.755767822265625","3.755767822265625","3.755767822265625","3.7357177734375","3.7357177734375","3.7357177734375","3.71923828125","3.71923828125","3.71923828125","3.723724365234375","3.723724365234375","3.723724365234375","3.7145233154296875","3.7145233154296875","3.7145233154296875","3.694610595703125","3.694610595703125","3.694610595703125","3.6484451293945312","3.6484451293945312","3.6484451293945312","3.6435089111328125","3.6435089111328125","3.6435089111328125"
"20","3.6624755859375","3.6624755859375","3.6624755859375","4.477386474609375","4.477386474609375","4.477386474609375","3.649688720703125","3.649688720703125","3.649688720703125","3.909576416015625","3.909576416015625","3.909576416015625","3.810150146484375","3.810150146484375","3.810150146484375","3.8052978515625","3.8052978515625","3.8052978515625","3.793548583984375","3.793548583984375","3.793548583984375","3.67681884765625","3.67681884765625","3.67681884765625","3.719207763671875","3.719207763671875","3.719207763671875","3.5241775512695312","3.5241775512695312","3.5241775512695312","3.586944580078125","3.586944580078125","3.586944580078125"
"30","3.526336669921875","3.526336669921875","3.526336669921875","3.8834228515625","3.8834228515625","3.8834228515625","3.57647705078125","3.57647705078125","3.57647705078125","3.69921875","3.69921875","3.69921875","3.66082763671875","3.66082763671875","3.66082763671875","3.606842041015625","3.606842041015625","3.606842041015625","3.670654296875","3.670654296875","3.670654296875","3.7557373046875","3.7557373046875","3.7557373046875","3.67144775390625","3.67144775390625","3.67144775390625","3.5830841064453125","3.5830841064453125","3.5830841064453125","3.479034423828125","3.479034423828125","3.479034423828125"
"40","3.522491455078125","3.522491455078125","3.522491455078125","3.6475830078125","3.6475830078125","3.6475830078125","3.581268310546875","3.581268310546875","3.581268310546875","3.693878173828125","3.693878173828125","3.693878173828125","3.5486297607421875","3.5486297607421875","3.5486297607421875","3.481719970703125","3.481719970703125","3.481719970703125","3.65472412109375","3.65472412109375","3.65472412109375","3.75811767578125","3.75811767578125","3.75811767578125","3.579193115234375","3.579193115234375","3.579193115234375","3.5094757080078125","3.5094757080078125","3.5094757080078125","3.5717010498046875","3.5717010498046875","3.5717010498046875"
"50","3.5465240478515625","3.5465240478515625","3.5465240478515625","3.95233154296875","3.95233154296875","3.95233154296875","3.617431640625","3.617431640625","3.617431640625","3.7386474609375","3.7386474609375","3.7386474609375","3.685516357421875","3.685516357421875","3.685516357421875","3.441375732421875","3.441375732421875","3.441375732421875","3.510894775390625","3.510894775390625","3.510894775390625","3.6181182861328125","3.6181182861328125","3.6181182861328125","3.5321807861328125","3.5321807861328125","3.5321807861328125","3.4639511108398438","3.4639511108398438","3.4639511108398438","3.466339111328125","3.466339111328125","3.466339111328125"
"60","3.69622802734375","3.69622802734375","3.69622802734375","3.89666748046875","3.89666748046875","3.89666748046875","3.66180419921875","3.66180419921875","3.66180419921875","3.597900390625","3.597900390625","3.597900390625","3.5180206298828125","3.5180206298828125","3.5180206298828125","3.5484619140625","3.5484619140625","3.5484619140625","3.6338958740234375","3.6338958740234375","3.6338958740234375","3.6502685546875","3.6502685546875","3.6502685546875","3.69970703125","3.69970703125","3.69970703125","3.5735626220703125","3.5735626220703125","3.5735626220703125","3.4708709716796875","3.4708709716796875","3.4708709716796875"
"70","3.482391357421875","3.482391357421875","3.482391357421875","3.581268310546875","3.581268310546875","3.581268310546875","3.57891845703125","3.57891845703125","3.57891845703125","3.626312255859375","3.626312255859375","3.626312255859375","3.5941162109375","3.5941162109375","3.5941162109375","3.5225677490234375","3.5225677490234375","3.5225677490234375","3.606353759765625","3.606353759765625","3.606353759765625","3.561798095703125","3.561798095703125","3.561798095703125","3.6258544921875","3.6258544921875","3.6258544921875","3.5058212280273438","3.5058212280273438","3.5058212280273438","3.449127197265625","3.449127197265625","3.449127197265625"
"80","3.3777008056640625","3.3777008056640625","3.3777008056640625","3.94110107421875","3.94110107421875","3.94110107421875","3.587432861328125","3.587432861328125","3.587432861328125","3.742523193359375","3.742523193359375","3.742523193359375","3.565032958984375","3.565032958984375","3.565032958984375","3.580291748046875","3.580291748046875","3.580291748046875","3.55999755859375","3.55999755859375","3.55999755859375","3.534332275390625","3.534332275390625","3.534332275390625","3.59881591796875","3.59881591796875","3.59881591796875","3.38140869140625","3.38140869140625","3.38140869140625","3.310985565185547","3.310985565185547","3.310985565185547"
"90","3.554656982421875","3.554656982421875","3.554656982421875","3.742034912109375","3.742034912109375","3.742034912109375","3.6307373046875","3.6307373046875","3.6307373046875","3.654388427734375","3.654388427734375","3.654388427734375","3.590972900390625","3.590972900390625","3.590972900390625","3.6231689453125","3.6231689453125","3.6231689453125","3.605743408203125","3.605743408203125","3.605743408203125","3.6387939453125","3.6387939453125","3.6387939453125","3.604156494140625","3.604156494140625","3.604156494140625","3.38812255859375","3.38812255859375","3.38812255859375","3.3328094482421875","3.3328094482421875","3.3328094482421875"
"100","3.4349517822265625","3.4349517822265625","3.4349517822265625","3.4957275390625","3.4957275390625","3.4957275390625","3.541015625","3.541015625","3.541015625","3.6163482666015625","3.6163482666015625","3.6163482666015625","3.531463623046875","3.531463623046875","3.531463623046875","3.422698974609375","3.422698974609375","3.422698974609375","3.5194091796875","3.5194091796875","3.5194091796875","3.460418701171875","3.460418701171875","3.460418701171875","3.51470947265625","3.51470947265625","3.51470947265625","3.5695953369140625","3.5695953369140625","3.5695953369140625","3.2908477783203125","3.2908477783203125","3.2908477783203125"
